,Datetime,Text
123,2020-04-14 22:57:42+00:00,Trump talks about sports when he's suppose to be talking about how to help the american people in this pandemic #COVID19 #DictatorTrump #stupidity #WhiteHouseBriefing
124,2020-04-14 22:57:41+00:00," Support Erin by signing “Support the USPS!” and I’ll deliver a copy to your officials too: https://twitter.com/messages/compose?recipient_id=835740314006511618&amp;text=USPS Last delivered to @GillibrandNY, @SenSchumer and @repdelgado #NY19 #NYpolitics #NYpol #COVID19 "
125,2020-04-14 22:57:41+00:00," URGENT-COVID19 : Donald Trump indique aussi que l'OMS ""doit être tenue pour responsable"" car elle a ""caché l'importance"" du coronavirus. Le Pdt américain estime que l'OMS a partagé la ""propagande chinoise"" et que cela a aggravé la propagation du COVID19. Allocution"
126,2020-04-14 22:57:41+00:00,DO WE HAVE TO CONSIDER CHRONIC PAIN AS PART OF POST-ICU SYNDROME? A PROSPECTIVE 12 MONTHS FOLLOW-UP STUDY | Morressier https://www.morressier.com/article/consider-chronic-pain-part-posticu-syndrome-prospective-12-months-followup-study/5d402f9d8f2158d25ec127b3 #covid19
127,2020-04-14 22:57:41+00:00,"Coronavirus-covid 19. Sport , Les championnats de France de cyclisme sur route devraient se dérouler du 20 au 23 Août 2020 https://vendeeactu.jimdofree.com/sport/"
128,2020-04-14 22:57:41+00:00,"Hospitals and healthcare providers will be targetted in #ransomware attacks, as they help provide medical treatment for #COVID19 patients. It's critical for these medical facilities to be fully operational during this coronavirus pandemic #GetCyberSerious"
129,2020-04-14 22:57:41+00:00,"Pensei que seria agora a realização da revolta da cabanagem e finalmente o Pará seria independente, mas o nosso herói foi atingido pelo COVID-19"
130,2020-04-14 22:57:41+00:00,Shameful. It’s ALL about the ratings for @CNN and @MSNBC. #COVID #COVID19 #Covid_19 People’s lives are on the line. 
131,2020-04-14 22:57:41+00:00,Covid-19 auto correct geez 
132,2020-04-14 22:57:41+00:00,Trump lied，COVID19 started half a year ago from America.
133,2020-04-14 22:57:41+00:00,En verdad estamos confiando en todas las gestiones que están realizando las autoridades respecto a esta problemática del covid-19
134,2020-04-14 22:57:41+00:00,"He's talking to God in person now. ""I Am Essential... I Talk To God!"": Virginia Pastor Who Defied Lockdown Order Has Died From COVID-19. Zero Hedge "
135,2020-04-14 22:57:41+00:00,COVID-19: CHSAA not optimistic about a spring sports season | http://TheBrightonBlade.com https://www.thebrightonblade.com/content/covid-19-chsaa-not-optimistic-about-spring-sports-season#.XpY_4X9iqNc.twitter
136,2020-04-14 22:57:41+00:00,Pensando nela = vacina do covid19
137,2020-04-14 22:57:41+00:00,"' ""حصنتك اللهُم وطنيِ من كُل وباءٍ ومكروه. ' ` ِ ِ` #covi̇d_19 ##StayHome #الأردن #سوريا #السعودية #الرياض #الكويت #البحرين #الامارات #دبي #ابوظبي #العراق… https://www.instagram.com/p/B--pbmBnulx/?igshid=14ymtevn9lp25"
138,2020-04-14 22:57:41+00:00,"#feitonobrasil #divertido Daqui pra frente o Mundo e os hábitos mudaram, a Covid19 vai passar com certeza, porém aprendemos que seja qualquer que for o resfriado ou gripe o mais educado é usarmos máscaras faciais.… https://www.instagram.com/p/B--pbnmBSzT/?igshid=130occzoezm80"
139,2020-04-14 22:57:41+00:00,#DictatorTrump #TrumpPressBriefing #TeamASide #Lockdown2 #COVID19 @marthamaccallum please escalate this —- no hiking even without masks impacting Americans health!!!@TuckerCarlson
140,2020-04-14 22:57:41+00:00,"#DrFauci Says Length of #Trump #Covid19 Briefings Is ‘Really Draining’“If I had been able to just make a few comments and then go to work, that would have really been much better,” he said. “It isn’t the idea of being there..It’s the amount of time” "
141,2020-04-14 22:57:40+00:00,"Tapi maaf bro, kemampuannya cuma bisa menyediakan tanah makam pahlawan untuk para frontliner medis perawat Covid-19. Tu gubernur ngedoain mereka meninggal? Ternyata gak lebih pinta dr pak @aniesbaswedan , mereka butuh support bukannya malah di sediain makam. #Rezim #koplak"
142,2020-04-14 22:57:40+00:00,Ojalá tomen cartas en el asunto con respecto a la conducta irresponsable de un venezolano infectado con Covid-19: https://www.facebook.com/54013055680/posts/10159175883760681/
143,2020-04-14 22:57:40+00:00,“Staying home during COVID-19 will save you hundreds of dollars with car insurance. Switch to Geico now” I’m just speaking the commercial into existence cause I know it’s coming soon if it haven’t already.
144,2020-04-14 22:57:40+00:00,"Reading, crafting, staying busy . . . . . . #chickswithglasses #selfie #quarantine #quarantinecutie #selfisolation #physicaldistancing #socialdistancing #covid19 #covidchronicles #canadianconfidence #bopo… https://www.instagram.com/p/B--pbmendoF/?igshid=bq969xsg794a"
